GCF_019048565.1; 4761971; 125205; .39152 
GCF_019048645.1; 2069829; 56320; .62808 
GCF_019048585.1; 4565397; 118895; .38598 
GCF_019048685.1; 4000186; 101750; .60974 
GCF_019048665.1; 4965546; 128035; .38733 
GCF_019048625.1; 4881504; 185280; .45146 
GCF_019048725.1; 4819060; 126895; .40542 
GCF_019048705.1; 4487402; 115745; .37440 
GCF_019048745.1; 4623054; 120830; .41219 
GCF_019048805.1; 5719099; 163510; .48106 
GCF_019048825.1; 2261766; 63290; .48442 
GCF_019048965.1; 2187893; 60050; .62094 
GCF_019048845.1; 4455745; 118715; .53560 
GCF_019048865.1; 5062439; 136390; .27352 
GCF_019056415.1; 1729173; 53050; .69068 
GCF_019048885.1; 5493026; 152340; .45109 
GCF_019048905.1; 4570031; 111890; .33919 
GCF_019056495.1; 1191838; 29120; .61416 
GCF_019056395.1; 3607887; 102570; .57490 
GCF_019056455.1; 1948535; 60595; .69320 
GCF_019056535.1; 1183974; 29345; .61381 
GCF_019048945.1; 6335546; 162410; .41133 
GCF_019048985.1; 6380900; 176330; .44287 
GCF_019048925.1; 7389561; 180555; .37906 
GCF_019056515.1; 3682864; 97980; .30202 
GCF_019056555.1; 4729538; 118630; .68382 
GCF_019056475.1; 6458622; 158025; .40100 
GCF_019056615.1; 4889770; 138680; .44756 
GCF_019056575.1; 5872725; 133125; .60017 
GCF_019056655.1; 4845793; 138930; .44856 
GCF_019076805.1; 3290083; 81425; .55266 
GCF_019056635.1; 4972748; 141365; .44716 
GCF_019076885.1; 1980600; 56170; .59995 
GCF_019076685.1; 3980626; 107430; .60602 
GCF_019063845.1; 5116313; 121305; .38397 
GCF_019063905.1; 5113435; 149320; .47896 
GCF_019063885.1; 4950384; 118055; .38548 
GCF_019078745.1; 4038539; 106340; .35573 
GCF_019076985.1; 5701908; 134440; .35846 
GCF_019056675.1; 8725442; 195755; .30080 
GCF_019095765.1; 4348319; 105665; .70642 
GCF_019086825.1; 5691859; 176800; .49672 
GCF_019090985.1; 5869440; 147220; .56989 
GCF_019091005.1; 5067689; 160285; .49403 
GCF_019134655.1; 1247718; 34115; .71020 
GCF_019095205.1; 5764764; 141890; .32712 
GCF_019134675.1; 2443878; 68035; .59416 
GCF_019134635.1; 2880554; 79975; .66676 
GCF_019134555.1; 4516567; 110150; .34996 
GCF_019107705.1; 6084155; 175175; .43238 
GCF_019107685.1; 6081337; 172305; .43616 
GCF_019134615.1; 2920456; 81065; .66720 
GCF_019112525.1; 4329717; 110720; .26048 
GCF_019134595.1; 4840213; 121520; .58325 
GCF_019134755.1; 1938255; 56370; .67304 
GCF_019134775.1; 1939823; 56800; .67305 
GCF_019134735.1; 1932322; 56280; .67344 
GCF_019134795.1; 1937773; 57630; .67389 
